월,총인구수,세대수,세대당 인구,남자 인구수,여자 인구수,남여 비율
1월,2436488,1032478,2.36,1204387,1232101,0.98
2월,2432883,1033349,2.35,1202364,1230519,0.98
3월,2433568,1037956,2.34,1202273,1231295,0.98
4월,2431523,1041932,2.33,1200899,1230624,0.98
5월,2429059,1044412,2.33,1199504,1229555,0.98
6월,2427954,1046585,2.32,1198815,1229139,0.98
7월,2428022,1048735,2.32,1198621,1229401,0.97
8월,2428228,1050852,2.31,1198662,1229566,0.97
9월,2426849,1052646,2.31,1197914,1228935,0.97
10월,2424171,1053168,2.30,1196446,1227725,0.97
11월,2421859,1054637,2.30,1195081,1226778,0.97
12월,2418346,1056627,2.29,1193109,1225237,0.97
