번호,구분,화장실명,소재지도로명주소,소재지지번주소,남녀공용화장실여부,남성용-대변기수,남성용-소변기수,남성용-장애인용대변기수,남성용-장애인용소변기수,남성용-어린이용대변기수,남성용-어린이용소변기수,여성용-대변기수,여성용-장애인용대변기수,여성용-어린이용대변기수,관리기관명,전화번호,개방시간,설치연월,위도,경도,화장실소유구분,화장실설치장소유형,오물처리방식,비상벨설치유형,화장실입구CCTV설치유무,기저귀교환대장소,리모델링연월,데이터기준일자
1,공중화장실,월광수변공원2,대구광역시 달서구 월곡로 5,,N,1,1,0,0,0,0,0,0,0,달서구청 공원녹지과,,09:00~18:00,,35.79880747,128.5482868,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
2,공중화장실,보성은하상가,"대구광역시 달서구 월곡로 320 (상인동, 보성은하아파트)",,N,2,3,0,0,0,0,2,0,0,달서구청 경제지원과,,09:00~18:00,,35.82358126,128.5342992,민간,상업시설,수세식,없음,N,없음,,2020-08-31
3,개방화장실,월곡빌딩,대구광역시 달서구 월곡로 266 (상인동),,N,1,2,0,0,0,0,2,0,0,달서구청 환경보호과,,09:00~18:00,,35.81812518,128.5389873,민간,기타,수세식,없음,N,없음,,2020-08-31
4,공중화장실,상인프라자,대구광역시 달서구 월곡로 260 (상인동),,N,2,2,0,0,0,0,0,1,0,달서구청 환경보호과,,09:00~18:00,,35.81778207,128.5393215,민간,기타,수세식,없음,N,없음,,2020-08-31
5,공중화장실,동양주유소,대구광역시 달서구 월곡로 149 (상인동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.80985743,128.5464702,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
6,공중화장실,명종주유소,대구광역시 달서구 월곡로 134-1 (상인동),,Y,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.80911167,128.5481196,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
7,공중화장실,더진솔한주유소,대구광역시 달서구 용산로 8 (본리동),,N,0,0,0,0,0,0,0,0,0,달서구청 환경보호과,,09:00~18:00,,35.8380504,128.5308947,민간,주유소·충전소,수세식,없음,N,없음,,2020-08-31
8,개방화장실,대구용산동우체국,"대구광역시 달서구 용산로 214 (용산동, 신용산우체국)",,N,1,2,0,0,0,0,1,0,0,대구용산동우체국,,09:00~18:00,,35.85667165,128.5309118,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
9,개방화장실,용산1동 행정복지센터 3층,"대구광역시 달서구 용산로 212-7 (용산동, 용산1동행정복지센터)",,N,2,3,0,0,0,0,5,1,0,용산1동 행정복지센터,,09:00~18:00,,35.85666404,128.531226,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
10,개방화장실,도원도서관,"대구광역시 달서구 한실로 113 (도원동, 도원도서관)",,N,3,6,0,0,0,0,6,1,1,달서구청 도서관과,,09:00~20:00,,35.80679505,128.5390474,지방자치단체,공공용시설,수세식,없음,Y,없음,,2020-08-31
11,공중화장실,사랑공원,대구광역시 달서구 학산로7길 27,,N,1,1,0,0,0,0,2,0,0,월성2동 행정복지센터,,09:00~18:00,,35.83033022,128.5311049,지방자치단체,공공용시설,수세식,여자화장실,N,없음,,2020-08-31
12,개방화장실,월성종합복지관 3층,"대구광역시 달서구 학산로7길 39 (월성동, 월성주공3단지아파트)",,N,0,0,0,0,0,0,1,0,0,월성종합복지관,,09:00~22:00,,35.83157511,128.5298717,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
13,개방화장실,월성종합복지관 2층,"대구광역시 달서구 학산로7길 39 (월성동, 월성주공3단지아파트)",,N,2,2,0,0,0,0,0,0,1,월성종합복지관,,09:00~22:00,,35.83157511,128.5298717,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
14,개방화장실,월성종합복지관 1층,"대구광역시 달서구 학산로7길 39 (월성동, 월성주공3단지아파트)",,N,1,2,0,0,0,0,2,1,0,월성종합복지관,,09:00~22:00,,35.83157511,128.5298717,지방자치단체,공공용시설,수세식,,Y,없음,,2020-08-31
15,개방화장실,월성119안전센터,"대구광역시 달서구 학산로 75 (월성동, 달서소방서)",,N,1,2,0,0,0,0,1,0,0,월성119안전센터,,09:00~18:00,,35.83105896,128.5347309,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
16,개방화장실,대구달서우체국,"대구광역시 달서구 학산로 65 (월성동, 대구달서우체국)",,N,5,14,0,0,0,0,5,0,0,대구달서우체국 지원과,,09:00~18:00,,35.83067799,128.5343606,국가,공공용시설,수세식,없음,N,없음,,2020-08-31
17,개방화장실,달서구청 8층,"대구광역시 달서구 학산로 45 (월성동, 달서구청)",,N,2,5,0,0,0,0,2,0,0,달서구청 총무과,,09:00~18:00,,35.82991524,128.5328365,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
18,개방화장실,달서구청 7층,"대구광역시 달서구 학산로 45 (월성동, 달서구청)",,N,2,5,0,0,0,0,2,0,0,달서구청 총무과,,09:00~18:00,,35.82991524,128.5328365,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
19,개방화장실,달서구청 6층,"대구광역시 달서구 학산로 45 (월성동, 달서구청)",,N,2,5,0,0,0,0,2,0,0,달서구청 총무과,,09:00~18:00,,35.82991524,128.5328365,지방자치단체,공공용시설,수세식,없음,N,없음,,2020-08-31
